ctx	split	ngl	kv	status	used_5070Ti	used_3080	free_5070Ti	free_3080	toks
204800	18,7	99	f16	FAIL	497	28	15499	10024	-
212992	18,7	99	f16	FAIL	15798	8965	198	1087	-
